station_name,borough,borough_standardized,system,full_name
Piccadilly Circus,Westminster,Westminster,Tube,Piccadilly Circus tube station
Pimlico,Westminster,Westminster,Tube,Pimlico tube station
Queensway,Westminster,Westminster,Tube,Queensway tube station
Regent's Park,Westminster,Westminster,Tube,Regent's Park tube station
Royal Oak,Westminster,Westminster,Tube,Royal Oak tube station
St. James's Park,Westminster,Westminster,Tube,St James's Park tube station
St. John's Wood,Westminster,Westminster,Tube,St John's Wood tube station
Temple,Westminster,Westminster,Tube,Temple tube station
Tottenham Court Road,Westminster,Westminster,Tube,Tottenham Court Road station
Victoria,Westminster,Westminster,Tube,Victoria tube station
Warwick Avenue,Westminster,Westminster,Tube,Warwick Avenue tube station
Westbourne Park,Westminster,Westminster,Tube,Westbourne Park tube station
Westminster,Westminster,Westminster,Tube,Westminster tube station
